Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,,Genre,,Director,,,,Rank
Move to Heaven,14-May-21,2021,Netflix,Friday,10,52 min.,18+ Restricted (violence & profanity),9.2,,"Life,  Drama,  Family ",,Kim Sung Ho,,,,#1
Flower of Evil,"Jul 29, 2020 - Sep 23, 2020",2020,tvN," Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,9.1,,"Thriller,  Romance,  Crime,  Melodrama ",,"Kim Chul Gyu, Yoon Jong Ho",,,,#2
Hospital Playlist,"Mar 12, 2020 - May 28, 2020",2020,"Netflix,  tvN ",Thursday,12,1 hr. 30 min.,15+ - Teens 15 or older,9.1,,"Friendship,  Romance,  Life,  Medical ",,Shin Won Ho,,,,#3
Hospital Playlist 2,"Jun 17, 2021 - Sep 16, 2021",2021,"Netflix,  tvN ",Thursday,12,1 hr. 40 min.,15+ - Teens 15 or older,9.1,,"Friendship,  Romance,  Life,  Medical ",,Shin Won Ho,,,,#4
My Mister,"Mar 21, 2018 - May 17, 2018",2018,tvN," Wednesday, Thursday",16,1 hr. 17 min.,15+ - Teens 15 or older,9.1,,"Psychological,  Life,  Drama,  Family ",,"Kim Won Suk, Kim Sang Woo",,,,#5
Reply 1988,"Nov  6, 2015 - Jan 16, 2016",2015,tvN," Friday, Saturday",20,1 hr. 40 min.,15+ - Teens 15 or older,9.1,,"Comedy,  Romance,  Youth,  Family ",,"Shin Won Ho, Yoo Hak Chan",,,,#6
Weak Hero Class 1,18-Nov-22,2022,Wavve,Friday,8,40 min.,18+ Restricted (violence & profanity),9.1,,"Action, Youth, Drama",,You Su Min,,,,#7
Prison Playbook,"Nov 22, 2017 - Jan 18, 2018",2017,"Netflix,  tvN "," Wednesday, Thursday",16,1 hr. 32 min.,15+ - Teens 15 or older,9.1,,"Comedy,  Crime,  Life,  Drama ",,Shin Won Ho,,,,#8
Alchemy of Souls,"Jun 18, 2022 - Aug 28, 2022",2022,"Netflix, tvN","Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,9,,"Action, Historical, Romance, Fantasy ",,Park Joon Hwa,,,,#9
Extraordinary Attorney Woo,"Jun 29, 2022 - Aug 18, 2022",2022,"ENA, Netflix","Wednesday, Thursday",16,1 hr. 17 min.,15+ - Teens 15 or older,9,,"Law, Romance, Life, Drama ",,Yoo In Shik,,,,#10
Mr. Queen,"Dec 12, 2020 - Feb 14, 2021",2020,tvN," Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,9,,"Historical,  Mystery,  Comedy,  Romance ",,Yoon Sung Shik,,,,#11
Mother,"Jan 24, 2018 - Mar 15, 2018",2018,tvN," Wednesday, Thursday",16,1 hr. 3 min.,15+ - Teens 15 or older,9,,"Thriller,  Mystery,  Psychological,  Melodrama ",,"Kim Chul Gyu, Yoon Hyun Gi",,,,#12
It's Okay to Not Be Okay,"Jun 20, 2020 - Aug  9, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,9,,"Psychological,  Comedy,  Romance,  Drama ",,"Park Shin Woo, Jung Dong Yoon",,,,#13
Crash Landing on You,"Dec 14, 2019 - Feb 16, 2020",2019,"Netflix,  tvN "," Sunday, Saturday",16,1 hr. 25 min.,15+ - Teens 15 or older,9,,"Military,  Comedy,  Romance,  Political ",,Lee Jeong Hyo,,,,#14
Vincenzo,"Feb 20, 2021 - May  2, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",20,1 hr. 25 min.,15+ - Teens 15 or older,9,,"Comedy,  Law,  Crime,  Drama ",,Kim Hee Won,,,,#15
Navillera,"Mar 22, 2021 - Apr 27, 2021",2021,"Netflix,  tvN "," Monday, Tuesday",12,1 hr. 5 min.,15+ - Teens 15 or older,9,,"Friendship,  Life,  Drama,  Family ",,Han Dong Hwa,,,,#16
Signal,"Jan 22, 2016 - Mar 12, 2016",2016,tvN," Friday, Saturday",16,1 hr. 15 min.,15+ - Teens 15 or older,9,,"Thriller,  Mystery,  Sci-Fi ",,Kim Won Suk,,,,#17
